source,url,date,identifier,organization,address1,address2,alternate_names,city,state,zip,phone,administrator,operator,type,general
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCC.html,2015-10-23 15:32:00 ,CCC,California Correctional Center,C Facility,PO Box 2400,"CCC, Susanville",Susanville,CA,96127,530-257-2181,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCI.html,2015-10-23 15:32:00 ,CCI,California Correctional Institution,Facility A,PO Box 1902,"CCI, Tehachapi",Tehachapi,CA,93581,661-822-4402x3021,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCI.html,2015-10-23 15:32:00 ,CCI,California Correctional Institution,Facility B,PO Box 1906,"CCI, Tehachapi",Tehachapi,CA,93581,661-822-4402x3021,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCI.html,2015-10-23 15:32:00 ,CCI,California Correctional Institution,Facility C,PO Box 1905,"CCI, Tehachapi",Tehachapi,CA,93581,661-822-4402x3021,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCI.html,2015-10-23 15:32:00 ,CCI,California Correctional Institution,Facility D,PO Box 608,"CCI, Tehachapi",Tehachapi,CA,93581,661-822-4402x3021,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCI.html,2015-10-23 15:32:00 ,CCI,California Correctional Institution,Facility E,PO Box 107,"CCI, Tehachapi",Tehachapi,CA,93581,661-822-4402x3021,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CHCF.html,2015-10-23 15:32:00 ,CHCF,"California Health Care Facility, Stockton",7707 Austin Road,,"CHCF, Stockton",Stockton,CA,95215,209-467-2518,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CHCF.html,2015-10-23 15:32:00 ,CHCF,"California Health Care Facility, Stockton",Facility A,PO Box 31960,"CHCF, Stockton",Stockton,CA,95213,209-467-2518,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CHCF.html,2015-10-23 15:32:00 ,CHCF,"California Health Care Facility, Stockton",Facility B,PO Box 32110,"CHCF, Stockton",Stockton,CA,95213,209-467-2518,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CHCF.html,2015-10-23 15:32:00 ,CHCF,"California Health Care Facility, Stockton",Facility C,PO Box 32200,"CHCF, Stockton",Stockton,CA,95213,209-467-2518,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CHCF.html,2015-10-23 15:32:00 ,CHCF,"California Health Care Facility, Stockton",Facility D,PO Box 32080,"CHCF, Stockton",Stockton,CA,95213,209-467-2518,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CHCF.html,2015-10-23 15:32:00 ,CHCF,"California Health Care Facility, Stockton",Facility E,PO Box 32290,"CHCF, Stockton",Stockton,CA,95213,209-467-2518,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CIM.html,2015-10-23 15:32:00 ,CIM,California Institution for Men,Facility A,PO Box 368,"CIM, Chino",Chino,CA,91708,909-597-1821x2901,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CIM.html,2015-10-23 15:32:00 ,CIM,California Institution for Men,Facility B,PO Box 441,"CIM, Chino",Chino,CA,91708,909-597-1821x2901,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CIM.html,2015-10-23 15:32:00 ,CIM,California Institution for Men,Facility C,PO Box 500,"CIM, Chino",Chino,CA,91708,909-597-1821x2901,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CIM.html,2015-10-23 15:32:00 ,CIM,California Institution for Men,Facility D,PO Box 600,"CIM, Chino",Chino,CA,91708,909-597-1821x2901,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CIW.html,2015-10-23 15:32:00 ,CIW,California Institution for Women,16756 Chino-Corona Road,,"CIW, Women's Institution",Corona,CA,92880,909-597-1771x4921,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-mens-colony,2015-10-23 15:32:00 ,CMC,California Men's Colony East,PO Box 8101,,"CMC, CMC - East, Men's Colony, Mens Colony",San Luis Obispo,CA,93409,805-547-7948,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-mens-colony,2015-10-23 15:32:00 ,CMC,California Men's Colony West,PO Box 8103,,"CMC, CMC - West, Men's Colony, Mens Colony",San Luis Obispo,CA,93409,805-547-7948,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CMF.html,2015-10-23 15:32:00 ,CMF,California Medical Facility,PO Box 2000,,"CMF, Medical Facility",Vacaville,CA,95696-2000,707-448-6841,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CRC.html,2015-10-23 15:32:00 ,CRC,California Rehabilitation Center,PO Box 3535,,"CRC, Norco",Norco,CA,92860,909-689-4552,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-state-prison-corcoran,2015-10-23 15:32:00 ,COR,"California State Prison, Corcoran",PO Box 8800,,"COR, CSP-COR, Corcoran Prison, Corcoran",Corcoran,CA,93212,559-992-6103,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-state-prison-corcoran,2015-10-23 15:32:00 ,COR,"California State Prison, Corcoran",3A,PO Box 3461,"COR, CSP-COR, Corcoran Prison, Corcoran",Corcoran,CA,93212,559-992-6103,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-state-prison-corcoran,2015-10-23 15:32:00 ,COR,"California State Prison, Corcoran",3B,PO Box 3466,"COR, CSP-COR, Corcoran Prison, Corcoran",Corcoran,CA,93212,559-992-6103,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-state-prison-corcoran,2015-10-23 15:32:00 ,COR,"California State Prison, Corcoran",3C,PO Box 3471,"COR, CSP-COR, Corcoran Prison, Corcoran",Corcoran,CA,93212,559-992-6103,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/california-state-prison-corcoran,2015-10-23 15:32:00 ,COR,"California State Prison, Corcoran",4A,PO Box 3476,"COR, CSP-COR, Corcoran Prison, Corcoran",Corcoran,CA,93212,559-992-6103,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.prisonpro.com/content/california-state-prison-corcoran,2015-10-23 15:32:00 ,COR,"California State Prison, Corcoran",4B,PO Box 3481,"COR, CSP-COR, Corcoran Prison, Corcoran",Corcoran,CA,93212,559-992-6103,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/LAC.html,2015-10-23 15:32:00 ,LAC,"California State Prison, Los Angeles County",PO Box 8457,,"LAC, CSP-LAC, Lancaster",Lancaster,CA,93536,661-729-2000x6912,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/LAC.html,2015-10-23 15:32:00 ,LAC,"California State Prison, Los Angeles County",Facility A,PO Box 4430,"LAC, CSP-LAC, Lancaster",Lancaster,CA,93536,661-729-2000x6912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/LAC.html,2015-10-23 15:32:00 ,LAC,"California State Prison, Los Angeles County",Facility B,PO Box 4490,"LAC, CSP-LAC, Lancaster",Lancaster,CA,93536,661-729-2000x6912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/LAC.html,2015-10-23 15:32:00 ,LAC,"California State Prison, Los Angeles County",Facility C,PO Box 4610,"LAC, CSP-LAC, Lancaster",Lancaster,CA,93536,661-729-2000x6912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/LAC.html,2015-10-23 15:32:00 ,LAC,"California State Prison, Los Angeles County",Facility D,PO Box 4670,"LAC, CSP-LAC, Lancaster",Lancaster,CA,93536,661-729-2000x6912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/LAC.html,2015-10-23 15:32:00 ,LAC,"California State Prison, Los Angeles County",Minimum Support Facility,PO Box 4730,"LAC, CSP-LAC, Lancaster",Lancaster,CA,93536,661-729-2000x6912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SAC.html,2015-10-23 15:32:00 ,SAC,"California State Prison, Sacramento",PO Box 290066,,"SAC, Sacramento",Represa,CA,95671,916-985-8610x5295,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SOL.html,2015-10-23 15:32:00 ,SOL,"California State Prison, Solano",PO Box 4000,,"SOL, Solano",Vacaville,CA,95696-4000,707-457-3257,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SATF.html,2015-10-23 15:32:00 ,SATF,"California Substance Abuse Treatment Facility and State Prison, Corcoran",PO Box 7100,,"SATF, SATF-CSP, California Substance Abuse Treatment Facility, CSATF",Corcoran,CA,93212,559-992-7154,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/SATF.html,2015-10-23 15:32:00 ,SATF,"California Substance Abuse Treatment Facility and State Prison, Corcoran",Facility A & B,PO Box 5248,"SATF, SATF-CSP, California Substance Abuse Treatment Facility, CSATF",Corcoran,CA,93212,559-992-7154,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SATF.html,2015-10-23 15:32:00 ,SATF,"California Substance Abuse Treatment Facility and State Prison, Corcoran",Facility C,PO Box 5246,"SATF, SATF-CSP, California Substance Abuse Treatment Facility, CSATF",Corcoran,CA,93212,559-992-7154,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SATF.html,2015-10-23 15:32:00 ,SATF,"California Substance Abuse Treatment Facility and State Prison, Corcoran",Facility D & E,PO Box 5242,"SATF, SATF-CSP, California Substance Abuse Treatment Facility, CSATF",Corcoran,CA,93212,559-992-7154,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SATF.html,2015-10-23 15:32:00 ,SATF,"California Substance Abuse Treatment Facility and State Prison, Corcoran",Facility F & G,PO Box 5244,"SATF, SATF-CSP, California Substance Abuse Treatment Facility, CSATF",Corcoran,CA,93212,559-992-7154,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,PO Box 5002,,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,Facility A,PO Box 5004,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,Facility B,PO Box 5005,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,Facility C,PO Box 5006,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,Facility D,PO Box 5007,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,MSF/FH/ASU,PO Box 5008,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CAL.html,2015-10-23 15:32:00 ,CAL,Calipatria State Prison,PO Box 5003,,"CAL, Calipatria",Calipatria,CA,92233,760-348-7000x5013,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CEN.html,2015-10-23 15:32:00 ,CEN,Centinela State Prison,PO Box 731,,"CEN, Centinela",Imperial,CA,92251,760-337-7601,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/CEN.html,2015-10-23 15:32:00 ,CEN,Centinela State Prison,Facility A,PO Box 901,"CEN, Centinela",Imperial,CA,92251,760-337-7601,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CEN.html,2015-10-23 15:32:00 ,CEN,Centinela State Prison,Facility B,PO Box 911,"CEN, Centinela",Imperial,CA,92251,760-337-7601,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CEN.html,2015-10-23 15:32:00 ,CEN,Centinela State Prison,Facility C,PO Box 921,"CEN, Centinela",Imperial,CA,92251,760-337-7601,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CEN.html,2015-10-23 15:32:00 ,CEN,Centinela State Prison,Facility D,PO Box 931,"CEN, Centinela",Imperial,CA,92251,760-337-7601,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CCWF.html,2015-10-23 15:32:00 ,CCWF,Central California Women's Facility,PO Box 1508,,"CCWF, Womens Facility",Chowchilla,CA,93610,559-665-5531x5012,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CVSP.html,2015-10-23 15:32:00 ,CVSP,Chuckawalla Valley State Prison,PO Box 2349,,"CVSP, Chuckawalla",Blythe,CA,92226,760-922-9710,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CTF.html,2015-10-23 15:32:00 ,CTF,Correctional Training Facility,Facility A & B,PO Box 705,"CTF, Soledad",Soledad,CA,93960,831-678-3951x2139,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CTF.html,2015-10-23 15:32:00 ,CTF,Correctional Training Facility,Facility C,PO Box 689,"CTF, Soledad",Soledad,CA,93960,831-678-3951x2139,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/CTF.html,2015-10-23 15:32:00 ,CTF,Correctional Training Facility,Facility D,PO Box 690,"CTF, Soledad",Soledad,CA,93960,831-678-3951x2139,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/DVI.html,2015-10-23 15:32:00 ,DVI,Deuel Vocational Institution,PO Box 600,,"DVI, Deuel",Tracy,CA,95378-0600,209-835-4141,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/FSP.html,2015-10-23 15:32:00 ,FSP,Folsom State Prison,PO Box 715071,,"FSP, Folsom",Represa,CA,95671,916-985-2561x4469,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/HDSP.html,2015-10-23 15:32:00 ,HDSP,High Desert State Prison,PO Box 3030,,"HDSP, High Desert",Susanville,CA,96127-3030,530-251-5100x5512,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/ISP.html,2015-10-23 15:32:00 ,ISP,Ironwood State Prison,PO Box 2199,,"ISP, Ironwood",Blythe,CA,92226,760-921-3000x5301,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,3000 West Cecil Avenue,PO Box 6000,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,Facility A,PO Box 5101,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,Facility B,PO Box 5102,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,Facility C,PO Box 5103,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,Facility D,PO Box 5104,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,Facility M,PO Box 5105,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,ASU1,PO Box 5107,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/KVSP.html,2015-10-23 15:32:00 ,KVSP,Kern Valley State Prison,ASU2,PO Box 5106,"KVSP, Kern Valley",Delano,CA,93216,661-720-4912,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/mule-creek-state-prison,2015-10-23 15:32:00 ,MCSP,Mule Creek State Prison,A Yard,PO Box 409020,"MCSP, Mule Creek",Ione,CA,95640,209-2784-4911x5080,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/mule-creek-state-prison,2015-10-23 15:32:00 ,MCSP,Mule Creek State Prison,B Yard,PO Box 409040,"MCSP, Mule Creek",Ione,CA,95640,209-2784-4911x5080,California,California Department of Corrections and Rehabilitation,,
manual,http://www.prisonpro.com/content/mule-creek-state-prison,2015-10-23 15:32:00 ,MCSP,Mule Creek State Prison,C Yard,PO Box 409060,"MCSP, Mule Creek",Ione,CA,95640,209-2784-4911x5080,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/MCSP.html,2015-10-23 15:32:00 ,MCSP,Mule Creek State Prison,PO Box 409099,,"MCSP, Mule Creek",Ione,CA,95640,209-2784-4911x5080,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/MCSP.html,2015-10-23 15:32:00 ,MCSP,Mule Creek State Prison,PO Box 409000,,"MCSP, Mule Creek",Ione,CA,95640,209-2784-4911x5080,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/NKSP.html,2015-10-23 15:32:00 ,NKSP,North Kern State Prison,Facility A/E,PO Box 5000,"NKSP, North Kern",Delano,CA,93216,661-721-2345x5095,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/NKSP.html,2015-10-23 15:32:00 ,NKSP,North Kern State Prison,Facility B,PO Box 4999,"NKSP, North Kern",Delano,CA,93216,661-721-2345x5095,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/NKSP.html,2015-10-23 15:32:00 ,NKSP,North Kern State Prison,Facility C,PO Box 5004,"NKSP, North Kern",Delano,CA,93216,661-721-2345x5095,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/NKSP.html,2015-10-23 15:32:00 ,NKSP,North Kern State Prison,Facility D,PO Box 5005,"NKSP, North Kern",Delano,CA,93216,661-721-2345x5095,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/PBSP.html,2015-10-23 15:32:00 ,PBSP,Pelican Bay State Prison,PO Box 7500,,"PBSP, Pelican Bay",Crescent City,CA,95532,707-465-1000x7101,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/PVSP.html,2015-10-23 15:32:00 ,PVSP,Pleasant Valley State Prison,PO Box 8500,,"PVSP, Pleasant Valley",Coalinga,CA,93210,559-935-4972,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/PVSP.html,2015-10-23 15:32:00 ,PVSP,Pleasant Valley State Prison,Facility A,PO Box 8501,"PVSP, Pleasant Valley",Coalinga,CA,93210,559-935-4972,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/PVSP.html,2015-10-23 15:32:00 ,PVSP,Pleasant Valley State Prison,Facility B,PO Box 8502,"PVSP, Pleasant Valley",Coalinga,CA,93210,559-935-4972,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/PVSP.html,2015-10-23 15:32:00 ,PVSP,Pleasant Valley State Prison,Facility C,PO Box 8503,"PVSP, Pleasant Valley",Coalinga,CA,93210,559-935-4972,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/PVSP.html,2015-10-23 15:32:00 ,PVSP,Pleasant Valley State Prison,Facility D,PO Box 8504,"PVSP, Pleasant Valley",Coalinga,CA,93210,559-935-4972,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/RJD.html,2015-10-23 15:32:00 ,RJD,R.J. Donovan Correctional Facility at Rock Mountain,480 Alta Road,,"RJD, Richard J. Donovan Correctional Facility, Richard J. Donovan, R.J. Donovan Correctional Facility, R.J. D. Correctional Institution, RJ Donovan",San Diego,CA,92179,619-661-7802,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SVSP.html,2015-10-23 15:32:00 ,SVSP,Salinas Valley State Prison,PO Box 1050,,"SVSP, Salinas Valley",Soledad,CA,93960-1020,831-661-6500x5420,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SQ.html,2015-10-23 15:32:00 ,SQ,San Quentin State Prison,,,"SQ, San Quentin",San Quentin,CA,94974,415-454-1460x5008,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/SCC.html,2015-10-23 15:32:00 ,SCC,Sierra Conservation Center,5150 O'Byrnes Ferry Road,,"SCC, Sierra",Jamestown,CA,95327,209-984-5291,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/VSP.html,2015-10-23 15:32:00 ,VSP,Valley State Prison,PO Box 92,,"VSP, VSPW",Chowchilla,CA,93610,559-665-6100,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/WSP.html,2015-10-23 15:32:00 ,WSP,Wasco State Prison,Facility A,PO Box 4400,"WSP, Wasco",Wasco,CA,93280,661-758-8400,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/WSP.html,2015-10-23 15:32:00 ,WSP,Wasco State Prison,Facility B,PO Box 5500,"WSP, Wasco",Wasco,CA,93280,661-758-8400,California,California Department of Corrections and Rehabilitation,,x
manual,http://www.cdcr.ca.gov/Facilities_Locator/WSP.html,2015-10-23 15:32:00 ,WSP,Wasco State Prison,Facility C,PO Box 6600,"WSP, Wasco",Wasco,CA,93280,661-758-8400,California,California Department of Corrections and Rehabilitation,,
manual,http://www.cdcr.ca.gov/Facilities_Locator/WSP.html,2015-10-23 15:32:00 ,WSP,Wasco State Prison,Facility D,PO Box 7700,"WSP, Wasco",Wasco,CA,93280,661-758-8400,California,California Department of Corrections and Rehabilitation,,
